timestep_time;vehicle_id;vehicle_x;vehicle_y;vehicle_z
2.800;f_0.0;73.49;-0.04;9.49
2.800;f_1.81;-43.52;0.00;12.97
2.800;f_1.82;62.79;0.00;12.97
2.800;f_1.83;155.27;0.00;12.97
2.800;f_1.80;-76.59;0.00;12.97
2.900;f_0.0;73.64;-0.04;9.49
2.900;f_1.81;-44.95;0.00;12.97
2.900;f_1.82;61.48;0.00;12.97
2.900;f_1.83;154.18;0.00;12.97
2.900;f_1.80;-77.70;0.00;12.97
3.000;f_0.0;73.80;-0.04;9.49
3.000;f_1.81;-46.38;0.00;12.97
3.000;f_1.82;60.18;0.00;12.97
3.000;f_1.83;153.07;0.00;12.97
3.000;f_1.80;-78.81;0.00;12.97
3.100;f_0.0;73.95;-0.04;9.49
3.100;f_1.81;-47.81;0.00;12.97
3.100;f_1.82;58.88;0.00;12.97
3.100;f_1.83;151.94;0.00;12.97
3.100;f_1.80;-79.92;0.00;12.97
3.200;f_0.0;74.11;-0.04;9.49
3.200;f_1.81;-49.23;0.00;12.97
3.200;f_1.82;57.58;0.00;12.97
3.200;f_1.83;150.79;0.00;12.97
3.200;f_1.80;-81.03;0.00;12.97
3.300;f_0.0;74.26;-0.04;9.49
3.300;f_1.81;-50.65;0.00;12.97
3.300;f_1.82;56.27;0.00;12.97
3.300;f_1.83;149.61;0.00;12.97
3.300;f_1.80;-82.13;0.00;12.97
3.400;f_0.0;74.42;-0.04;9.49
3.400;f_1.81;-52.10;0.00;12.97
3.400;f_1.82;54.95;0.00;12.97
3.400;f_1.83;148.40;0.00;12.97
3.400;f_1.80;-83.25;0.00;12.97
3.500;f_0.0;74.57;-0.04;9.49
3.500;f_1.81;-53.51;0.00;12.97
3.500;f_1.82;53.66;0.00;12.97
3.500;f_1.83;147.19;0.00;12.97
3.500;f_1.80;-84.35;0.00;12.97
3.600;f_0.0;74.73;-0.04;9.49
3.600;f_1.81;-54.93;0.00;12.97
3.600;f_1.82;52.36;0.00;12.97
3.600;f_1.83;145.96;0.00;12.97
3.600;f_1.80;-85.44;0.00;12.97
3.700;f_0.0;74.88;-0.04;9.49
3.700;f_1.81;-56.34;0.00;12.97
3.700;f_1.82;51.06;0.00;12.97
3.700;f_1.83;144.72;0.00;12.97
3.700;f_1.80;-86.53;0.00;12.97
3.800;f_0.0;75.04;-0.04;9.49
3.800;f_1.81;-57.75;0.00;12.97
3.800;f_1.82;49.76;0.00;12.97
3.800;f_1.83;143.47;0.00;12.97
3.800;f_1.80;-87.62;0.00;12.97
3.900;f_0.0;75.19;-0.04;9.49
3.900;f_1.81;-59.16;0.00;12.97
3.900;f_1.82;48.46;0.00;12.97
3.900;f_1.83;142.24;0.00;12.97
3.900;f_1.80;-88.72;0.00;12.97
4.000;f_0.0;75.34;-0.04;9.49
4.000;f_1.81;-60.56;0.00;12.97
4.000;f_1.82;47.16;0.00;12.97
4.000;f_1.83;141.00;0.00;12.97
4.000;f_1.80;-89.80;0.00;12.97
4.100;f_0.0;75.50;-0.04;9.49
4.100;f_1.81;-61.95;0.00;12.97
4.100;f_1.82;45.87;0.00;12.97
4.100;f_1.83;139.76;0.00;12.97
4.100;f_1.80;-90.90;0.00;12.97
4.200;f_0.0;75.65;-0.04;9.49
4.200;f_1.81;-63.34;0.00;12.97
4.200;f_1.82;44.58;0.00;12.97
4.200;f_1.83;138.52;0.00;12.97
4.200;f_1.80;-91.98;0.00;12.97
4.300;f_0.0;75.81;-0.04;9.49
