timestep_time;vehicle_id;vehicle_x;vehicle_y;vehicle_z
13.200;f_1.82;-71.89;0.00;12.97
13.200;f_1.83;27.44;0.00;12.97
13.200;f_1.84;112.60;0.00;12.97
13.300;f_0.0;89.15;-0.04;9.45
13.300;f_1.85;182.22;0.00;12.97
13.300;f_1.82;-73.18;0.00;12.97
13.300;f_1.83;26.20;0.00;12.97
13.300;f_1.84;111.22;0.00;12.97
13.400;f_0.0;89.30;-0.04;9.45
13.400;f_1.85;181.92;0.00;12.97
13.400;f_1.82;-74.47;0.00;12.97
13.400;f_1.83;24.97;0.00;12.97
13.400;f_1.84;109.83;0.00;12.97
13.500;f_0.0;89.44;-0.04;9.45
13.500;f_1.85;181.58;0.00;12.97
13.500;f_1.82;-75.78;0.00;12.97
13.500;f_1.83;23.72;0.00;12.97
13.500;f_1.84;108.42;0.00;12.97
13.600;f_0.0;89.58;-0.04;9.45
13.600;f_1.85;181.24;0.00;12.97
13.600;f_1.82;-77.07;0.00;12.97
13.600;f_1.83;22.49;0.00;12.97
13.600;f_1.84;107.03;0.00;12.97
13.700;f_0.0;89.72;-0.04;9.45
13.700;f_1.85;180.88;0.00;12.97
13.700;f_1.82;-78.37;0.00;12.97
13.700;f_1.83;21.25;0.00;12.97
13.700;f_1.84;105.65;0.00;12.97
13.800;f_0.0;89.87;-0.04;9.45
13.800;f_1.85;180.49;0.00;12.97
13.800;f_1.82;-79.66;0.00;12.97
13.800;f_1.83;20.02;0.00;12.97
13.800;f_1.84;104.27;0.00;12.97
13.900;f_0.0;90.01;-0.04;9.45
13.900;f_1.85;180.08;0.00;12.97
13.900;f_1.82;-80.95;0.00;12.97
13.900;f_1.83;18.78;0.00;12.97
13.900;f_1.84;102.89;0.00;12.97
14.000;f_0.0;90.15;-0.04;9.45
14.000;f_1.85;179.65;0.00;12.97
14.000;f_1.82;-82.23;0.00;12.97
14.000;f_1.83;17.55;0.00;12.97
14.000;f_1.84;101.50;0.00;12.97
14.100;f_0.0;90.29;-0.04;9.45
14.100;f_1.85;179.20;0.00;12.97
14.100;f_1.82;-83.53;0.00;12.97
14.100;f_1.83;16.32;0.00;12.97
14.100;f_1.84;100.12;0.00;12.97
14.200;f_0.0;90.44;-0.04;9.45
14.200;f_1.85;178.71;0.00;12.97
14.200;f_1.82;-84.83;0.00;12.97
14.200;f_1.83;15.08;0.00;12.97
14.200;f_1.84;98.75;0.00;12.97
14.300;f_0.0;90.58;-0.04;9.45
14.300;f_1.85;178.22;0.00;12.97
14.300;f_1.82;-86.12;0.00;12.97
14.300;f_1.83;13.85;0.00;12.97
14.300;f_1.84;97.36;0.00;12.97
14.400;f_0.0;90.72;-0.04;9.45
14.400;f_1.85;177.70;0.00;12.97
14.400;f_1.82;-87.41;0.00;12.97
14.400;f_1.83;12.61;0.00;12.97
14.400;f_1.84;95.98;0.00;12.97
14.500;f_0.0;90.86;-0.04;9.45
14.500;f_1.85;177.16;0.00;12.97
14.500;f_1.82;-88.70;0.00;12.97
14.500;f_1.83;11.38;0.00;12.97
14.500;f_1.84;94.59;0.00;12.97
14.600;f_0.0;91.00;-0.04;9.45
14.600;f_1.85;176.60;0.00;12.97
14.600;f_1.82;-89.99;0.00;12.97
14.600;f_1.83;10.15;0.00;12.97
14.600;f_1.84;93.21;0.00;12.97
14.700;f_0.0;91.14;-0.04;9.45
14.700;f_1.85;176.02;0.00;12.97
14.700;f_1.82;-91.28;0.00;12.97
14.700;f_1.83;8.92;0.00;12.97
14.700;f_1.84;91.83;0.00;12.97
14.800;f_0.0;91.29;-0.04;9.45
14.800;f_1.85;175.43;0.00;12.97
14.800;f_1.82;-92.58;0.00;12.97
14.800;f_1.83;7.69;0.00;12.97
14.800;f_1.84;90.45;0.00;12.97
14.900;f_0.0;91.43;-0.04;9.45
14.900;f_1.85;174.82;0.00;12.97
14.900;f_1.82;-93.87;0.00;12.97
14.900;f_1.83;6.46;0.00;12.97
14.900;f_1.84;89.06;0.00;12.97
15.000;f_0.0;91.57;-0.04;9.45
15.000;f_1.85;174.18;0.00;12.97
15.000;f_1.82;-95.17;0.00;12.97
15.000;f_1.83;5.22;0.00;12.97
15.000;f_1.84;87.68;0.00;12.97
15.100;f_0.0;91.71;-0.04;9.45
15.100;f_1.85;173.54;0.00;12.97
15.100;f_1.82;-96.46;0.00;12.97
15.100;f_1.83;3.99;0.00;12.97
15.100;f_1.84;86.29;0.00;12.97
15.200;f_0.0;91.85;-0.04;9.45
15.200;f_1.85;172.86;0.00;12.97
15.200;f_1.82;-97.75;0.00;12.97
15.200;f_1.83;2.75;0.00;12.97
15.200;f_1.84;84.91;0.00;12.97
15.300;f_0.0;91.99;-0.04;9.45
15.300;f_1.85;172.18;0.00;12.97
15.300;f_1.83;1.52;0.00;12.97
15.300;f_1.84;83.54;0.00;12.97
15.400;f_0.0;92.13;-0.04;9.45
15.400;f_1.85;171.46;0.00;12.97
15.400;f_1.83;0.28;0.00;12.97
15.400;f_1.84;82.16;0.00;12.97
15.500;f_0.0;92.27;-0.04;9.45
15.500;f_1.85;170.73;0.00;12.97
15.500;f_1.83;-0.96;0.00;12.97
15.500;f_1.84;80.78;0.00;12.97
15.600;f_0.0;92.41;-0.04;9.45
15.600;f_1.85;169.99;0.00;12.97
15.600;f_1.83;-2.18;0.00;12.97
15.600;f_1.84;79.40;0.00;12.97
15.700;f_0.0;92.55;-0.04;9.45
15.700;f_1.85;169.23;0.00;12.97
15.700;f_1.83;-3.42;0.00;12.97
15.700;f_1.84;78.01;0.00;12.97
15.800;f_0.0;92.70;-0.04;9.45
15.800;f_1.85;168.45;0.00;12.97
15.800;f_1.83;-4.66;0.00;12.97
15.800;f_1.84;76.63;0.00;12.97
15.900;f_0.0;92.84;-0.04;9.45
15.900;f_1.85;167.64;0.00;12.97
15.900;f_1.83;-5.90;0.00;12.97
15.900;f_1.84;75.24;0.00;12.97
16.000;f_0.0;92.98;-0.04;9.44
16.000;f_1.85;166.82;0.00;12.97
16.000;f_1.83;-7.13;0.00;12.97
16.000;f_1.84;73.86;0.00;12.97
16.100;f_0.0;93.12;-0.04;9.44
16.100;f_1.85;165.98;0.00;12.97
16.100;f_1.83;-8.37;0.00;12.97
16.100;f_1.84;72.48;0.00;12.97
16.200;f_0.0;93.26;-0.04;9.44
16.200;f_1.85;165.11;0.00;12.97
16.200;f_1.83;-9.60;0.00;12.97
16.200;f_1.84;71.09;0.00;12.97
16.300;f_0.0;93.40;-0.04;9.44
16.300;f_1.85;164.23;0.00;12.97
16.300;f_1.83;-10.83;0.00;12.97
16.300;f_1.84;69.70;0.00;12.97
16.400;f_0.0;93.54;-0.04;9.44
16.400;f_1.85;163.33;0.00;12.97
16.400;f_1.83;-12.07;0.00;12.97
16.400;f_1.84;68.32;0.00;12.97
16.500;f_0.0;93.68;-0.04;9.44
16.500;f_1.85;162.41;0.00;12.97
16.500;f_1.83;-13.30;0.00;12.97
16.500;f_1.84;66.94;0.00;12.97
16.600;f_0.0;93.81;-0.04;9.44
16.600;f_1.85;161.48;0.00;12.97
16.600;f_1.83;-14.54;0.00;12.97
16.600;f_1.84;65.55;0.00;12.97
16.700;f_0.0;93.95;-0.04;9.44
16.700;f_1.85;160.52;0.00;12.97
16.700;f_1.83;-15.77;0.00;12.97
16.700;f_1.84;64.17;0.00;12.97
16.800;f_0.0;94.09;-0.04;9.44
16.800;f_1.85;159.53;0.00;12.97
16.800;f_1.83;-17.00;0.00;12.97
16.800;f_1.84;62.79;0.00;12.97
16.900;f_0.0;94.23;-0.04;9.44
16.900;f_1.85;158.52;0.00;12.97
16.900;f_1.83;-18.23;0.00;12.97
16.900;f_1.84;61.40;0.00;12.97
17.000;f_0.0;94.37;-0.04;9.44
17.000;f_1.85;157.50;0.00;12.97
17.000;f_1.83;-19.47;0.00;12.97
17.000;f_1.84;60.02;0.00;12.97
17.100;f_0.0;94.51;-0.04;9.44
17.100;f_1.85;156.45;0.00;12.97
17.100;f_1.83;-20.70;0.00;12.97
17.100;f_1.84;58.65;0.00;12.97
17.200;f_0.0;94.65;-0.04;9.44
17.200;f_1.85;155.38;0.00;12.97
17.200;f_1.83;-21.94;0.00;12.97
17.200;f_1.84;57.27;0.00;12.97
17.300;f_0.0;94.79;-0.04;9.44
17.300;f_1.85;154.28;0.00;12.97
17.300;f_1.83;-23.17;0.00;12.97
17.300;f_1.84;55.89;0.00;12.97
17.400;f_0.0;94.93;-0.04;9.44
17.400;f_1.85;153.17;0.00;12.97
17.400;f_1.83;-24.40;0.00;12.97
17.400;f_1.84;54.50;0.00;12.97
17.500;f_0.0;95.07;-0.04;9.44
17.500;f_1.85;152.05;0.00;12.97
17.500;f_1.83;-25.64;0.00;12.97
17.500;f_1.84;53.12;0.00;12.97
17.600;f_0.0;95.20;-0.04;9.44
17.600;f_1.85;150.90;0.00;12.97
17.600;f_1.83;-26.87;0.00;12.97
17.600;f_1.84;51.74;0.00;12.97
17.700;f_0.0;95.34;-0.04;9.44
17.700;f_1.85;149.73;0.00;12.97
17.700;f_1.83;-28.10;0.00;12.97
17.700;f_1.84;50.36;0.00;12.97
17.800;f_0.0;95.48;-0.04;9.44
17.800;f_1.85;148.55;0.00;12.97
17.800;f_1.83;-29.33;0.00;12.97
17.800;f_1.84;48.98;0.00;12.97
17.900;f_0.0;95.62;-0.04;9.44
17.900;f_1.85;147.35;0.00;12.97
17.900;f_1.83;-30.56;0.00;12.97
17.900;f_1.84;47.60;0.00;12.97
18.000;f_0.0;95.76;-0.04;9.44
18.000;f_1.85;146.13;0.00;12.97
18.000;f_1.83;-31.80;0.00;12.97
18.000;f_1.84;46.21;0.00;12.97
18.100;f_0.0;95.89;-0.04;9.44
18.100;f_1.85;144.89;0.00;12.97
18.100;f_1.83;-33.03;0.00;12.97
18.100;f_1.84;44.83;0.00;12.97
18.200;f_0.0;96.03;-0.04;9.44
18.200;f_1.85;143.62;0.00;12.97
18.200;f_1.83;-34.26;0.00;12.97
18.200;f_1.84;43.45;0.00;12.97
18.300;f_0.0;96.17;-0.04;9.44
18.300;f_1.85;142.34;0.00;12.97
18.300;f_1.83;-35.50;0.00;12.97
18.300;f_1.84;42.06;0.00;12.97
18.400;f_0.0;96.31;-0.04;9.44
18.400;f_1.85;141.04;0.00;12.97
18.400;f_1.83;-36.74;0.00;12.97
18.400;f_1.84;40.68;0.00;12.97
18.500;f_0.0;96.44;-0.04;9.44
18.500;f_1.85;139.73;0.00;12.97
18.500;f_1.83;-37.97;0.00;12.97
18.500;f_1.84;39.30;0.00;12.97
18.600;f_0.0;96.58;-0.04;9.44
18.600;f_1.85;138.41;0.00;12.97
18.600;f_1.83;-39.20;0.00;12.97
18.600;f_1.84;37.92;0.00;12.97
18.700;f_0.0;96.72;-0.04;9.44
18.700;f_1.85;137.07;0.00;12.97
18.700;f_1.83;-40.44;0.00;12.97
18.700;f_1.84;36.54;0.00;12.97
18.800;f_0.0;96.86;-0.04;9.44
18.800;f_1.85;135.71;0.00;12.97
18.800;f_1.83;-41.67;0.00;12.97
18.800;f_1.84;35.16;0.00;12.97
18.900;f_0.0;96.99;-0.04;9.44
18.900;f_1.85;134.32;0.00;12.97
18.900;f_1.83;-42.90;0.00;12.97
18.900;f_1.84;33.78;0.00;12.97
19.000;f_0.0;97.13;-0.04;9.43
19.000;f_1.85;132.91;0.00;12.97
19.000;f_1.83;-44.14;0.00;12.97
19.000;f_1.84;32.39;0.00;12.97
19.100;f_0.0;97.27;-0.04;9.43
19.100;f_1.85;131.49;0.00;12.97
19.100;f_1.83;-45.37;0.00;12.97
19.100;f_1.84;31.01;0.00;12.97
19.200;f_0.0;97.40;-0.04;9.43
19.200;f_1.85;130.04;0.00;12.97
19.200;f_1.86;184.30;0.00;12.97
19.200;f_1.83;-46.60;0.00;12.97
19.200;f_1.84;29.63;0.00;12.97
19.300;f_0.0;97.54;-0.04;9.43
19.300;f_1.85;128.58;0.00;12.97
19.300;f_1.86;184.28;0.00;12.97
19.300;f_1.83;-47.84;0.00;12.97
19.300;f_1.84;28.25;0.00;12.97
19.400;f_0.0;97.68;-0.04;9.43
19.400;f_1.85;127.08;0.00;12.97
19.400;f_1.86;184.23;0.00;12.97
19.400;f_1.83;-49.07;0.00;12.97
19.400;f_1.84;26.87;0.00;12.97
19.500;f_0.0;97.81;-0.04;9.43
19.500;f_1.85;125.57;0.00;12.97
19.500;f_1.86;184.16;0.00;12.97
19.500;f_1.83;-50.30;0.00;12.97
19.500;f_1.84;25.49;0.00;12.97
19.600;f_0.0;97.95;-0.04;9.43
19.600;f_1.85;124.03;0.00;12.97
19.600;f_1.86;184.07;0.00;12.97
19.600;f_1.83;-51.54;0.00;12.97
19.600;f_1.84;24.11;0.00;12.97
19.700;f_0.0;98.09;-0.04;9.43
19.700;f_1.85;122.47;0.00;12.97
19.700;f_1.86;183.96;0.00;12.97
19.700;f_1.83;-52.77;0.00;12.97
19.700;f_1.84;22.72;0.00;12.97
19.800;f_0.0;98.22;-0.04;9.43
19.800;f_1.85;120.89;0.00;12.97
19.800;f_1.86;183.82;0.00;12.97
19.800;f_1.83;-54.01;0.00;12.97
19.800;f_1.84;21.34;0.00;12.97
19.900;f_0.0;98.36;-0.04;9.43
19.900;f_1.85;119.30;0.00;12.97
19.900;f_1.86;183.65;0.00;12.97
19.900;f_1.83;-55.24;0.00;12.97
19.900;f_1.84;19.95;0.00;12.97
20.000;f_0.0;98.49;-0.04;9.43
20.000;f_1.85;117.71;0.00;12.97
20.000;f_1.86;183.47;0.00;12.97
20.000;f_1.83;-56.47;0.00;12.97
20.000;f_1.84;18.57;0.00;12.97
20.100;f_0.0;98.63;-0.04;9.43
20.100;f_1.85;116.12;0.00;12.97
20.100;f_1.86;183.26;0.00;12.97
20.100;f_1.83;-57.70;0.00;12.97
20.100;f_1.84;17.19;0.00;12.97
20.200;f_0.0;98.77;-0.04;9.43
20.200;f_1.85;114.54;0.00;12.97
20.200;f_1.86;183.04;0.00;12.97
20.200;f_1.83;-58.93;0.00;12.97
20.200;f_1.84;15.81;0.00;12.97
20.300;f_0.0;98.90;-0.04;9.43
20.300;f_1.85;112.95;0.00;12.97
20.300;f_1.86;182.79;0.00;12.97
20.300;f_1.83;-60.16;0.00;12.97
20.300;f_1.84;14.43;0.00;12.97
20.400;f_0.0;99.04;-0.04;9.43
20.400;f_1.85;111.36;0.00;12.97
20.400;f_1.86;182.53;0.00;12.97
20.400;f_1.83;-61.39;0.00;12.97
20.400;f_1.84;13.04;0.00;12.97
20.500;f_0.0;99.17;-0.04;9.43
20.500;f_1.85;109.78;0.00;12.97
20.500;f_1.86;182.24;0.00;12.97
20.500;f_1.83;-62.63;0.00;12.97
20.500;f_1.84;11.66;0.00;12.97
20.600;f_0.0;99.31;-0.04;9.43
20.600;f_1.85;108.20;0.00;12.97
20.600;f_1.86;181.93;0.00;12.97
20.600;f_1.83;-63.86;0.00;12.97
20.600;f_1.84;10.28;0.00;12.97
20.700;f_0.0;99.44;-0.04;9.43
20.700;f_1.85;106.61;0.00;12.97
20.700;f_1.86;181.59;0.00;12.97
20.700;f_1.83;-65.10;0.00;12.97
20.700;f_1.84;8.90;0.00;12.97
20.800;f_0.0;99.58;-0.04;9.43
20.800;f_1.85;105.02;0.00;12.97
20.800;f_1.86;181.24;0.00;12.97
20.800;f_1.83;-66.34;0.00;12.97
20.800;f_1.84;7.52;0.00;12.97
20.900;f_0.0;99.71;-0.04;9.43
20.900;f_1.85;103.43;0.00;12.97
20.900;f_1.86;180.87;0.00;12.97
20.900;f_1.83;-67.58;0.00;12.97
20.900;f_1.84;6.14;0.00;12.97
21.000;f_0.0;99.85;-0.04;9.43
21.000;f_1.85;101.85;0.00;12.97
21.000;f_1.86;180.47;0.00;12.97
21.000;f_1.83;-68.81;0.00;12.97
21.000;f_1.84;4.75;0.00;12.97
21.100;f_0.0;99.98;-0.04;9.43
21.100;f_1.85;100.27;0.00;12.97
21.100;f_1.86;180.05;0.00;12.97
21.100;f_1.83;-70.04;0.00;12.97
21.100;f_1.84;3.37;0.00;12.97
21.200;f_0.0;100.12;-0.04;9.43
21.200;f_1.85;98.69;0.00;12.97
21.200;f_1.86;179.61;0.00;12.97
21.200;f_1.83;-71.27;0.00;12.97
21.200;f_1.84;1.98;0.00;12.97
21.300;f_0.0;100.25;-0.04;9.43
21.300;f_1.85;97.11;0.00;12.97
21.300;f_1.86;179.15;0.00;12.97
21.300;f_1.83;-72.51;0.00;12.97
21.300;f_1.84;0.60;0.00;12.97
21.400;f_0.0;100.38;-0.04;9.43
21.400;f_1.85;95.52;0.00;12.97
21.400;f_1.86;178.68;0.00;12.97
21.400;f_1.83;-73.74;0.00;12.97
21.400;f_1.84;-0.79;0.00;12.97
21.500;f_0.0;100.52;-0.04;9.43
21.500;f_1.85;93.94;0.00;12.97
21.500;f_1.86;178.18;0.00;12.97
21.500;f_1.83;-74.97;0.00;12.97
21.500;f_1.84;-2.17;0.00;12.97
21.600;f_0.0;100.65;-0.04;9.43
21.600;f_1.85;92.36;0.00;12.97
21.600;f_1.86;177.67;0.00;12.97
21.600;f_1.83;-76.21;0.00;12.97
21.600;f_1.84;-3.55;0.00;12.97
21.700;f_0.0;100.79;-0.04;9.43
21.700;f_1.85;90.78;0.00;12.97
21.700;f_1.86;177.14;0.00;12.97
21.700;f_1.83;-77.43;0.00;12.97
21.700;f_1.84;-4.94;0.00;12.97
21.800;f_0.0;100.92;-0.04;9.43
21.800;f_1.85;89.20;0.00;12.97
21.800;f_1.86;176.60;0.00;12.97
21.800;f_1.83;-78.66;0.00;12.97
21.800;f_1.84;-6.32;0.00;12.97
21.900;f_0.0;101.06;-0.04;9.43
21.900;f_1.85;87.61;0.00;12.97
21.900;f_1.86;176.05;0.00;12.97
21.900;f_1.83;-79.89;0.00;12.97
21.900;f_1.84;-7.70;0.00;12.97
22.000;f_0.0;101.19;-0.04;9.43
22.000;f_1.85;86.03;0.00;12.97
22.000;f_1.86;175.48;0.00;12.97
22.000;f_1.83;-81.13;0.00;12.97
22.000;f_1.84;-9.09;0.00;12.97
22.100;f_0.0;101.32;-0.04;9.43
22.100;f_1.85;84.45;0.00;12.97
22.100;f_1.86;174.89;0.00;12.97
22.100;f_1.83;-82.36;0.00;12.97
22.100;f_1.84;-10.48;0.00;12.97
22.200;f_0.0;101.46;-0.04;9.42
22.200;f_1.85;82.87;0.00;12.97
22.200;f_1.86;174.27;0.00;12.97
22.200;f_1.83;-83.59;0.00;12.97
22.200;f_1.84;-11.86;0.00;12.97
22.300;f_0.0;101.59;-0.04;9.42
22.300;f_1.85;81.29;0.00;12.97
22.300;f_1.86;173.64;0.00;12.97
22.300;f_1.83;-84.82;0.00;12.97
22.300;f_1.84;-13.25;0.00;12.97
22.400;f_0.0;101.72;-0.04;9.42
22.400;f_1.85;79.71;0.00;12.97
22.400;f_1.86;172.99;0.00;12.97
22.400;f_1.83;-86.06;0.00;12.97
22.400;f_1.84;-14.63;0.00;12.97
22.500;f_0.0;101.86;-0.04;9.42
22.500;f_1.85;78.13;0.00;12.97
22.500;f_1.86;172.33;0.00;12.97
22.500;f_1.83;-87.30;0.00;12.97
22.500;f_1.84;-16.02;0.00;12.97
22.600;f_0.0;101.99;-0.04;9.42
22.600;f_1.85;76.54;0.00;12.97
22.600;f_1.86;171.64;0.00;12.97
22.600;f_1.83;-88.53;0.00;12.97
22.600;f_1.84;-17.41;0.00;12.97
22.700;f_0.0;102.12;-0.04;9.42
22.700;f_1.85;74.96;0.00;12.97
22.700;f_1.86;170.93;0.00;12.97
22.700;f_1.83;-89.77;0.00;12.97
22.700;f_1.84;-18.79;0.00;12.97
22.800;f_0.0;102.25;-0.04;9.42
22.800;f_1.85;73.38;0.00;12.97
22.800;f_1.86;170.20;0.00;12.97
22.800;f_1.83;-91.01;0.00;12.97
22.800;f_1.84;-20.17;0.00;12.97
22.900;f_0.0;102.39;-0.04;9.42
22.900;f_1.85;71.80;0.00;12.97
22.900;f_1.86;169.46;0.00;12.97
22.900;f_1.83;-92.25;0.00;12.97
22.900;f_1.84;-21.55;0.00;12.97
23.000;f_0.0;102.52;-0.04;9.42
23.000;f_1.85;70.21;0.00;12.97
23.000;f_1.86;168.70;0.00;12.97
23.000;f_1.83;-93.48;0.00;12.97
23.000;f_1.84;-22.94;0.00;12.97
23.100;f_0.0;102.65;-0.04;9.42
23.100;f_1.85;68.63;0.00;12.97
23.100;f_1.86;167.93;0.00;12.97
23.100;f_1.83;-94.71;0.00;12.97
23.100;f_1.84;-24.32;0.00;12.97
23.200;f_0.0;102.79;-0.04;9.42
23.200;f_1.85;67.05;0.00;12.97
23.200;f_1.86;167.13;0.00;12.97
23.200;f_1.83;-95.95;0.00;12.97
23.200;f_1.84;-25.70;0.00;12.97
23.300;f_0.0;102.92;-0.04;9.42
23.300;f_1.85;65.47;0.00;12.97
23.300;f_1.86;166.33;0.00;12.97
23.300;f_1.83;-97.18;0.00;12.97
23.300;f_1.84;-27.08;0.00;12.97
23.400;f_0.0;103.05;-0.04;9.42
23.400;f_1.85;63.89;0.00;12.97
23.400;f_1.86;165.49;0.00;12.97
23.400;f_1.83;-98.42;0.00;12.97
23.400;f_1.84;-28.46;0.00;12.97
23.500;f_0.0;103.18;-0.04;9.42
23.500;f_1.85;62.31;0.00;12.97
23.500;f_1.86;164.64;0.00;12.97
23.500;f_1.84;-29.85;0.00;12.97
23.600;f_0.0;103.31;-0.04;9.42
23.600;f_1.85;60.72;0.00;12.97
23.600;f_1.86;163.77;0.00;12.97
23.600;f_1.84;-31.23;0.00;12.97
23.700;f_0.0;103.45;-0.04;9.42
23.700;f_1.85;59.14;0.00;12.97
23.700;f_1.86;162.88;0.00;12.97
23.700;f_1.84;-32.60;0.00;12.97
23.800;f_0.0;103.58;-0.04;9.42
23.800;f_1.85;57.56;0.00;12.97
23.800;f_1.86;161.96;0.00;12.97
23.800;f_1.84;-33.98;0.00;12.97
23.900;f_0.0;103.71;-0.04;9.42
23.900;f_1.85;55.98;0.00;12.97
23.900;f_1.86;161.03;0.00;12.97
23.900;f_1.84;-35.36;0.00;12.97
24.000;f_0.0;103.84;-0.04;9.42
24.000;f_1.85;54.40;0.00;12.97
24.000;f_1.86;160.08;0.00;12.97
24.000;f_1.84;-36.75;0.00;12.97
24.100;f_0.0;103.97;-0.04;9.42
24.100;f_1.85;52.82;0.00;12.97
24.100;f_1.86;159.11;0.00;12.97
24.100;f_1.84;-38.14;0.00;12.97
24.200;f_0.0;104.10;-0.04;9.42
24.200;f_1.85;51.24;0.00;12.97
24.200;f_1.86;158.12;0.00;12.97
24.200;f_1.84;-39.52;0.00;12.97
24.300;f_0.0;104.24;-0.04;9.42
24.300;f_1.85;49.66;0.00;12.97
24.300;f_1.86;157.10;0.00;12.97
24.300;f_1.84;-40.91;0.00;12.97
24.400;f_0.0;104.37;-0.04;9.42
24.400;f_1.85;48.11;0.00;12.97
24.400;f_1.86;156.09;0.00;12.97
24.400;f_1.84;-42.26;0.00;12.97
24.500;f_0.0;104.50;-0.04;9.42
24.500;f_1.85;46.56;0.00;12.97
24.500;f_1.86;155.05;0.00;12.97
24.500;f_1.84;-43.62;0.00;12.97
24.600;f_0.0;104.63;-0.04;9.42
24.600;f_1.85;44.97;0.00;12.97
24.600;f_1.86;153.97;0.00;12.97
24.600;f_1.84;-45.00;0.00;12.97
24.700;f_0.0;104.76;-0.04;9.42
24.700;f_1.85;43.38;0.00;12.97
24.700;f_1.86;152.87;0.00;12.97
24.700;f_1.84;-46.40;0.00;12.97
24.800;f_0.0;104.89;-0.04;9.42
24.800;f_1.85;41.79;0.00;12.97
24.800;f_1.86;151.75;0.00;12.97
24.800;f_1.84;-47.79;0.00;12.97
24.900;f_0.0;105.02;-0.04;9.42
24.900;f_1.85;40.21;0.00;12.97
24.900;f_1.86;150.61;0.00;12.97
24.900;f_1.84;-49.18;0.00;12.97
25.000;f_0.0;105.15;-0.04;9.42
25.000;f_1.85;38.62;0.00;12.97
25.000;f_1.86;149.45;0.00;12.97
25.000;f_1.84;-50.57;0.00;12.97
25.100;f_0.0;105.28;-0.04;9.42
25.100;f_1.85;37.04;0.00;12.97
25.100;f_1.86;148.27;0.00;12.97
25.100;f_1.84;-51.96;0.00;12.97
25.200;f_0.0;105.41;-0.04;9.42
25.200;f_1.85;35.45;0.00;12.97
25.200;f_1.86;147.08;0.00;12.97
25.200;f_1.84;-53.35;0.00;12.97
25.300;f_0.0;105.54;-0.04;9.42
25.300;f_1.85;33.87;0.00;12.97
25.300;f_1.86;145.86;0.00;12.97
25.300;f_1.84;-54.73;0.00;12.97
25.400;f_0.0;105.67;-0.04;9.41
25.400;f_1.85;32.29;0.00;12.97
25.400;f_1.86;144.62;0.00;12.97
25.400;f_1.84;-56.11;0.00;12.97
25.500;f_0.0;105.80;-0.04;9.41
25.500;f_1.85;30.71;0.00;12.97
25.500;f_1.86;143.37;0.00;12.97
25.500;f_1.84;-57.49;0.00;12.97
25.600;f_0.0;105.93;-0.04;9.41
25.600;f_1.85;29.13;0.00;12.97
25.600;f_1.86;142.09;0.00;12.97
25.600;f_1.84;-58.88;0.00;12.97
25.700;f_0.0;106.06;-0.04;9.41
25.700;f_1.85;27.55;0.00;12.97
25.700;f_1.86;140.80;0.00;12.97
25.700;f_1.84;-60.26;0.00;12.97
25.800;f_0.0;106.19;-0.04;9.41
25.800;f_1.85;25.96;0.00;12.97
25.800;f_1.86;139.50;0.00;12.97
25.800;f_1.84;-61.65;0.00;12.97
25.900;f_0.0;106.32;-0.04;9.41
25.900;f_1.85;24.37;0.00;12.97
25.900;f_1.86;138.17;0.00;12.97
25.900;f_1.84;-63.03;0.00;12.97
26.000;f_0.0;106.45;-0.04;9.41
26.000;f_1.85;22.79;0.00;12.97
26.000;f_1.86;136.82;0.00;12.97
26.000;f_1.84;-64.42;0.00;12.97
26.100;f_0.0;106.58;-0.04;9.41
26.100;f_1.85;21.21;0.00;12.97
26.100;f_1.86;135.46;0.00;12.97
26.100;f_1.84;-65.80;0.00;12.97
26.200;f_0.0;106.71;-0.04;9.41
26.200;f_1.85;19.62;0.00;12.97
26.200;f_1.86;134.07;0.00;12.97
26.200;f_1.84;-67.18;0.00;12.97
26.300;f_0.0;106.84;-0.04;9.41
26.300;f_1.85;18.04;0.00;12.97
26.300;f_1.86;132.66;0.00;12.97
26.300;f_1.84;-68.56;0.00;12.97
26.400;f_0.0;106.97;-0.04;9.41
26.400;f_1.85;16.46;0.00;12.97
26.400;f_1.86;131.23;0.00;12.97
26.400;f_1.87;184.30;0.00;12.97
26.400;f_1.84;-69.94;0.00;12.97
26.500;f_0.0;107.10;-0.04;9.41
26.500;f_1.85;14.88;0.00;12.97
26.500;f_1.86;129.79;0.00;12.97
26.500;f_1.87;184.28;0.00;12.97
26.500;f_1.84;-71.32;0.00;12.97
26.600;f_0.0;107.23;-0.04;9.41
26.600;f_1.85;13.30;0.00;12.97
26.600;f_1.86;128.35;0.00;12.97
26.600;f_1.87;184.23;0.00;12.97
26.600;f_1.84;-72.71;0.00;12.97
26.700;f_0.0;107.36;-0.04;9.41
26.700;f_1.85;11.72;0.00;12.97
26.700;f_1.86;126.92;0.00;12.97
26.700;f_1.87;184.16;0.00;12.97
26.700;f_1.84;-74.09;0.00;12.97
26.800;f_0.0;107.49;-0.04;9.41
26.800;f_1.85;10.13;0.00;12.97
26.800;f_1.86;125.49;0.00;12.97
26.800;f_1.87;184.06;0.00;12.97
26.800;f_1.84;-75.48;0.00;12.97
26.900;f_0.0;107.62;-0.04;9.41
26.900;f_1.85;8.55;0.00;12.97
26.900;f_1.86;124.06;0.00;12.97
26.900;f_1.87;183.94;0.00;12.97
26.900;f_1.84;-76.86;0.00;12.97
27.000;f_0.0;107.74;-0.04;9.41
