unity_time;FPS
39.800;121.00
39.900;120.46
40.000;121.19
40.100;120.53
40.200;107.76
40.300;85.28
40.400;77.16
40.500;107.30
40.600;117.43
40.700;93.43
40.800;104.61
40.900;83.88
41.000;72.92
41.100;101.05
41.200;106.92
41.300;97.00
41.400;114.59
41.500;118.77
41.600;120.27
41.700;115.79
41.800;123.21
41.900;108.83
42.000;107.84
42.100;117.11
42.200;122.02
42.300;121.24
42.400;121.27
42.500;120.31
42.600;112.31
42.700;119.49
42.800;120.76
42.900;120.24
43.000;116.24
43.100;123.39
43.200;121.33
43.300;121.19
43.400;120.94
43.500;121.03
43.600;110.54
43.700;142.24
43.800;121.86
43.900;132.33
44.000;179.40
44.100;179.83
44.200;149.02
44.300;135.08
44.400;161.24
44.500;167.83
44.600;184.45
44.700;173.52
44.800;167.60
44.900;191.04
45.000;178.26
45.100;159.59
45.200;163.14
45.300;168.28
45.400;172.18
45.500;165.36
45.600;135.32
45.700;124.40
45.800;123.21
45.900;121.92
46.000;123.63
46.100;120.28
46.200;119.56
46.300;118.73
46.400;122.00
46.500;121.76
46.600;110.16
46.700;105.51
46.800;100.37
46.900;94.85
47.000;96.37
47.100;98.37
47.200;114.05
47.300;114.31
47.400;118.70
47.500;114.95
47.600;118.98
47.700;120.02
47.800;119.33
47.900;119.62
48.000;120.47
48.100;118.45
48.200;118.80
48.300;119.21
48.400;124.02
48.500;119.59
48.600;121.09
48.700;120.10
48.800;120.41
48.900;116.66
49.000;116.00
49.100;112.16
49.200;118.43
49.300;114.69
49.400;118.47
49.500;120.39
49.600;117.46
49.700;120.36
49.800;121.72
49.900;121.00
50.000;118.23
50.100;118.02
50.200;121.01
50.300;116.42
50.400;118.09
50.500;120.44
50.600;119.29
50.700;118.97
50.800;118.50
50.900;122.82
51.000;124.80
51.100;125.82
51.200;123.19
51.300;123.53
51.400;109.08
51.500;115.95
51.600;120.42
51.700;122.02
51.800;119.97
51.900;121.20
52.000;119.56
52.100;119.32
52.200;121.22
52.300;120.96
52.400;119.78
52.500;121.06
52.600;120.94
52.700;121.09
52.800;120.98
52.900;120.04
53.000;122.23
53.100;123.53
53.200;116.82
53.300;119.58
53.400;121.39
53.500;113.01
53.600;118.09
53.700;117.82
53.800;119.03
53.900;119.90
54.000;115.16
54.100;115.66
54.200;120.39
54.300;119.95
54.400;120.36
54.500;120.37
54.600;121.64
54.700;120.28
54.800;121.00
54.900;115.27
55.000;112.61
55.100;107.36
55.200;110.51
55.300;115.12
55.400;118.54
55.500;120.78
55.600;121.16
55.700;121.10
55.800;120.48
55.900;119.91
56.000;121.24
56.100;119.63
56.200;115.34
56.300;119.15
56.400;108.00
56.500;116.95
56.600;119.44
56.700;118.63
56.800;120.32
56.900;117.17
57.000;126.78
57.100;122.04
