Time(s);RTF
39.80;0.99
39.90;0.84
40.00;1.32
40.10;0.93
40.20;1.01
40.30;1.00
40.40;1.04
40.50;0.99
40.60;1.00
40.70;0.98
40.80;1.03
40.90;0.97
41.00;1.02
41.10;1.01
41.20;1.00
41.30;0.98
41.40;0.97
41.50;0.99
41.60;1.02
41.70;0.94
41.80;1.09
41.90;1.03
42.00;0.87
42.10;1.04
42.20;1.11
42.30;0.97
42.40;1.00
42.50;1.02
42.60;1.05
42.70;0.98
42.80;0.96
42.90;1.03
43.00;0.98
43.10;1.01
43.20;0.91
43.30;1.12
43.40;1.00
43.50;0.99
43.60;1.02
43.70;1.03
43.80;1.00
43.90;0.95
44.00;1.01
44.10;1.00
44.20;1.01
44.30;0.98
44.40;1.00
44.50;1.00
44.60;0.99
44.70;1.01
44.80;1.00
44.90;1.01
45.00;0.99
45.10;1.01
45.20;0.98
45.30;0.99
45.40;1.01
45.50;1.00
45.60;1.00
45.70;0.96
45.80;0.97
45.90;1.06
46.00;1.02
46.10;1.00
46.20;1.03
46.30;0.98
46.40;1.02
46.50;0.98
46.60;1.03
46.70;0.99
46.80;0.99
46.90;1.01
47.00;1.01
47.10;0.99
47.20;1.00
47.30;1.00
47.40;0.98
47.50;1.02
47.60;1.01
47.70;0.98
47.80;1.01
47.90;1.00
48.00;0.98
48.10;0.98
48.20;1.01
48.30;1.02
48.40;1.01
48.50;1.00
48.60;1.01
48.70;0.98
48.80;1.03
48.90;0.97
49.00;1.01
49.10;1.01
49.20;1.00
49.30;1.02
49.40;0.99
49.50;1.02
49.60;1.00
49.70;0.99
49.80;0.99
49.90;1.01
50.00;0.96
50.10;1.00
50.20;1.02
50.30;0.99
50.40;1.02
50.50;0.96
50.60;1.06
50.70;0.98
50.80;1.03
50.90;1.01
51.00;0.89
51.10;1.14
51.20;0.97
51.30;1.01
51.40;1.01
51.50;0.98
51.60;0.98
51.70;0.97
51.80;1.07
51.90;0.98
52.00;1.01
52.10;1.03
52.20;0.99
52.30;0.62
52.40;3.28
52.50;0.91
52.60;0.98
52.70;1.01
52.80;1.00
52.90;1.02
53.00;1.00
53.10;0.96
53.20;0.90
53.30;1.12
53.40;1.00
53.50;0.99
53.60;1.04
53.70;0.99
53.80;1.06
53.90;0.99
54.00;0.96
54.10;1.03
54.20;0.98
54.30;1.00
54.40;0.95
54.50;1.08
54.60;1.01
54.70;0.98
54.80;1.02
54.90;1.02
55.00;0.98
55.10;1.02
55.20;0.97
55.30;0.99
55.40;1.02
55.50;1.01
55.60;1.02
55.70;0.98
